quarter gdp unrate cpi 
1979-12-01  2730.705  6.0  76.900
1980-03-01  2796.523  6.3  80.100
1980-06-01  2799.938  7.6  82.500
1980-09-01  2860.044  7.5  83.900
1980-12-01  2993.525  7.2  86.400
1981-03-01  3131.799  7.4  88.600
1981-06-01  3167.251  7.5  90.500
1981-09-01  3261.203  7.6  93.100
1981-12-01  3283.536  8.5  94.100
1982-03-01  3273.809  9.0  94.700
1982-06-01  3331.281  9.6  97.000
1982-09-01  3367.072 10.1  97.700
1982-12-01  3407.810 10.8  97.700
1983-03-01  3480.321 10.3  98.100
1983-06-01  3583.844 10.1  99.400
1983-09-01  3692.257  9.2 100.400
1983-12-01  3796.121  8.3 101.400
1984-03-01  3912.774  7.8 102.900
1984-06-01  4015.000  7.2 103.700
1984-09-01  4087.378  7.3 104.700
1984-12-01  4147.606  7.3 105.500
1985-03-01  4237.010  7.2 106.800
1985-06-01  4302.297  7.4 107.500
1985-09-01  4394.563  7.1 108.100
1985-12-01  4453.105  7.0 109.500
1986-03-01  4516.344  7.2 109.100
1986-06-01  4555.245  7.2 109.400
1986-09-01  4619.627  7.0 110.000
1986-12-01  4669.396  6.6 110.800
1987-03-01  4736.231  6.6 112.200
1987-06-01  4821.459  6.2 113.500
1987-09-01  4900.509  5.9 114.700
1987-12-01  5022.670  5.7 115.600
1988-03-01  5090.615  5.7 116.500
1988-06-01  5207.707  5.4 118.000
1988-09-01  5299.486  5.4 119.500
1988-12-01  5412.713  5.3 120.700
1989-03-01  5527.352  5.0 122.200
1989-06-01  5628.429  5.3 124.100
1989-09-01  5711.556  5.3 124.800
1989-12-01  5763.444  5.4 126.300
1990-03-01  5890.835  5.2 128.600
1990-06-01  5974.665  5.2 129.900
1990-09-01  6029.504  5.9 132.500
1990-12-01  6023.332  6.3 134.200
1991-03-01  6054.867  6.8 134.800
1991-06-01  6143.612  6.9 136.000
1991-09-01  6218.425  6.9 137.000
1991-12-01  6279.296  7.3 138.200
1992-03-01  6380.798  7.4 139.100
1992-06-01  6492.299  7.8 140.100
1992-09-01  6586.548  7.6 141.100
1992-12-01  6697.553  7.4 142.300
1993-03-01  6748.182  7.0 143.300
1993-06-01  6829.594  7.0 144.300
1993-09-01  6904.222  6.7 145.000
1993-12-01  7032.844  6.5 146.300
1994-03-01  7136.259  6.5 147.100
1994-06-01  7269.847  6.1 147.900
1994-09-01  7352.255  5.9 149.300
1994-12-01  7476.661  5.5 150.100
1995-03-01  7545.296  5.4 151.200
1995-06-01  7604.923  5.6 152.400
1995-09-01  7706.531  5.6 153.100
1995-12-01  7799.493  5.6 153.900
1996-03-01  7893.146  5.5 155.500
1996-06-01  8061.535  5.3 156.700
1996-09-01  8159.043  5.2 157.700
1996-12-01  8287.078  5.4 159.100
1997-03-01  8402.060  5.2 159.800
1997-06-01  8551.940  5.0 160.200
1997-09-01  8691.756  4.9 161.200
1997-12-01  8788.320  4.7 161.800
1998-03-01  8889.732  4.7 162.000
1998-06-01  8994.738  4.5 162.800
1998-09-01  9146.521  4.6 163.500
1998-12-01  9325.650  4.4 164.400
1999-03-01  9447.103  4.2 164.800
1999-06-01  9557.005  4.3 166.000
1999-09-01  9712.280  4.2 167.800
1999-12-01  9926.101  4.0 168.800
2000-03-01 10031.031  4.0 171.000
2000-06-01 10278.340  4.0 172.200
2000-09-01 10357.445  3.9 173.600
2000-12-01 10472.285  3.9 174.600
2001-03-01 10508.121  4.3 176.100
2001-06-01 10638.384  4.5 177.700
2001-09-01 10639.486  5.0 178.100
2001-12-01 10701.317  5.7 177.400
2002-03-01 10834.445  5.7 178.500
2002-06-01 10934.752  5.8 179.600
2002-09-01 11037.057  5.7 180.800
2002-12-01 11103.834  6.0 181.800
2003-03-01 11230.078  5.9 183.900
2003-06-01 11370.653  6.3 183.100
2003-09-01 11625.137  6.1 185.100
2003-12-01 11816.827  5.7 185.500
2004-03-01 11988.403  5.8 187.100
2004-06-01 12181.398  5.6 188.900
2004-09-01 12367.744  5.4 189.800
2004-12-01 12562.163  5.4 191.700
2005-03-01 12813.729  5.2 193.100
2005-06-01 12974.083  5.0 193.700
2005-09-01 13205.445  5.0 198.800
2005-12-01 13381.629  4.9 198.100
2006-03-01 13648.904  4.7 199.700
2006-06-01 13799.794  4.6 201.800
2006-09-01 13908.498  4.5 202.800
2006-12-01 14066.370  4.4 203.100
2007-03-01 14233.226  4.4 205.288
2007-06-01 14422.313  4.6 207.234
2007-09-01 14569.675  4.7 208.547
2007-12-01 14685.330  5.0 211.445
2008-03-01 14668.445  5.1 213.448
2008-06-01 14812.974  5.6 217.463
2008-09-01 14842.983  6.1 218.877
2008-12-01 14549.949  7.3 211.398
2009-03-01 14383.885  8.7 212.495
2009-06-01 14340.417  9.5 214.790
2009-09-01 14384.145  9.8 215.861
2009-12-01 14566.511  9.9 217.347
2010-03-01 14681.063  9.9 217.353
2010-06-01 14888.600  9.4 217.199
2010-09-01 15057.660  9.5 218.275
2010-12-01 15230.208  9.3 220.472
2011-03-01 15238.371  9.0 223.046
2011-06-01 15460.926  9.1 224.806
2011-09-01 15587.125  9.0 226.597
2011-12-01 15785.312  8.5 227.223
2012-03-01 15973.881  8.2 228.807
2012-06-01 16121.851  8.2 228.524
2012-09-01 16227.939  7.8 231.015
2012-12-01 16297.349  7.9 231.221
2013-03-01 16475.440  7.5 232.299
2013-06-01 16541.390  7.5 232.374
2013-09-01 16749.349  7.2 233.632
2013-12-01 16999.888  6.7 234.723
2014-03-01 17031.324  6.7 235.978
2014-06-01 17320.921  6.1 237.029
2014-09-01 17622.257  5.9 237.486
2014-12-01 17735.933  5.6 236.290
2015-03-01 17874.715  5.4 235.989
2015-06-01 18093.224  5.3 237.419
2015-09-01 18227.689  5.0 237.467
2015-12-01 18287.226  5.0 237.846
2016-03-01 18325.187  5.0 238.078
2016-06-01 18538.039  4.9 239.842
2016-09-01 18729.130  4.9 241.006
2016-12-01 18905.545  4.7 242.821
2017-03-01 19057.705  4.5 243.752
2017-06-01 19250.009  4.4 243.790
2017-09-01 19508.986  4.2 246.373
